City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Atuona,PF,78.84,clear sky,-9.8,-139.0333,Villa Enata
6,Ahuimanu,US,80.31,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
15,Butaritari,KI,82.58,light rain,3.0707,172.7902,Isles Sunset Lodge
20,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
22,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
33,Gigmoto,PH,84.47,scattered clouds,13.7796,124.39,Cj's Travellers Inn
42,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
43,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
45,Cabadiangan,PH,87.31,broken clouds,9.7531,122.4739,Kipot
50,Cururupu,BR,75.74,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
51,Saint-Pierre,RE,78.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
62,Namatanai,PG,85.14,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
64,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
65,Quatre Cocos,MU,78.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
75,Biltine,TD,81.46,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
77,Mildura,AU,86.07,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
89,Poum,NC,76.03,clear sky,-20.2333,164.0167,Gîte kajeon
90,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
92,Yulara,AU,87.64,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
93,Sao Filipe,CV,79.65,overcast clouds,14.8961,-24.4956,Hotel Xaguate
95,Balsas,BR,77.11,broken clouds,-7.5325,-46.0356,Novo Hotel
101,Saint-Philippe,RE,78.48,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
107,Kavaratti,IN,82.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
110,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
