City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saskylakh,RU,2021-11-01 04:39:00,71.9167,114.0833,2.32,97,97,5.21,overcast clouds
1,Tuktoyaktuk,CA,2021-11-01 04:39:01,69.4541,-133.0374,30.2,80,75,14.97,broken clouds
2,Hermanus,ZA,2021-11-01 04:39:01,-34.4187,19.2345,61.81,74,93,13.8,light rain
3,Atuona,PF,2021-11-01 04:35:20,-9.8,-139.0333,78.84,73,0,18.92,clear sky
4,Punta Arenas,CL,2021-11-01 04:39:02,-53.15,-70.9167,46.51,57,0,8.05,clear sky
5,Busselton,AU,2021-11-01 04:39:03,-33.65,115.3333,63.05,52,82,20.92,broken clouds
6,Ahuimanu,US,2021-11-01 04:39:04,21.4447,-157.8378,80.31,71,90,4.61,overcast clouds
7,Port Elizabeth,ZA,2021-11-01 04:39:04,-33.918,25.5701,64.09,88,20,20.71,few clouds
8,Qaanaaq,GL,2021-11-01 04:37:53,77.484,-69.3632,19.27,91,100,7.7,overcast clouds
9,Thompson,CA,2021-11-01 04:39:05,55.7435,-97.8558,26.76,80,75,10.36,broken clouds
10,Poros,GR,2021-11-01 04:39:06,37.4994,23.4536,57.87,72,1,8.21,clear sky
11,Troitsko-Pechorsk,RU,2021-11-01 04:39:06,62.7084,56.1964,12.43,94,83,3.76,broken clouds
12,Ushuaia,AR,2021-11-01 04:39:07,-54.8,-68.3,46.06,71,0,3.44,clear sky
13,Cape Town,ZA,2021-11-01 04:39:08,-33.9258,18.4232,60.1,88,75,1.99,light rain
14,Albany,US,2021-11-01 04:38:55,42.6001,-73.9662,53.8,80,43,11.63,scattered clouds
15,Butaritari,KI,2021-11-01 04:39:09,3.0707,172.7902,82.58,73,11,12.12,light rain
16,Chokurdakh,RU,2021-11-01 04:38:41,70.6333,147.9167,-5.93,97,95,7.23,overcast clouds
17,Castro,BR,2021-11-01 04:39:10,-24.7911,-50.0119,57.38,96,94,7.2,overcast clouds
18,Port Alfred,ZA,2021-11-01 04:39:10,-33.5906,26.891,68.92,75,94,11.21,overcast clouds
19,Santa Rosalia,MX,2021-11-01 04:39:10,27.3167,-112.2833,71.49,44,71,6.35,broken clouds
20,Vaini,TO,2021-11-01 04:39:11,-21.2,-175.2,80.76,83,20,9.22,few clouds
21,Bluff,NZ,2021-11-01 04:39:11,-46.6,168.3333,54.79,76,92,30.76,overcast clouds
22,Kapaa,US,2021-11-01 04:39:12,22.0752,-159.319,78.78,82,75,0.0,broken clouds
23,Tasiilaq,GL,2021-11-01 04:39:12,65.6145,-37.6368,24.96,59,3,5.97,clear sky
24,New Norfolk,AU,2021-11-01 04:39:13,-42.7826,147.0587,69.66,43,100,3.0,overcast clouds
25,Rosarito,MX,2021-11-01 04:39:13,32.3333,-117.0333,61.75,79,96,3.09,overcast clouds
26,Chuy,UY,2021-11-01 04:39:14,-33.6971,-53.4616,63.19,98,95,6.31,overcast clouds
27,Filingue,NE,2021-11-01 04:39:14,14.3521,3.3168,81.75,17,100,6.87,overcast clouds
28,Mahebourg,MU,2021-11-01 04:39:15,-20.4081,57.7,79.25,78,40,6.91,scattered clouds
29,Jamestown,US,2021-11-01 04:38:45,42.097,-79.2353,51.39,91,90,5.01,overcast clouds
30,Kurilsk,RU,2021-11-01 04:39:15,45.2333,147.8833,41.22,75,99,13.78,overcast clouds
31,Yellowknife,CA,2021-11-01 04:39:16,62.456,-114.3525,33.42,99,90,13.8,overcast clouds
32,Baoro,CF,2021-11-01 04:39:16,5.6667,15.9667,68.58,92,100,2.39,overcast clouds
33,Gigmoto,PH,2021-11-01 04:39:17,13.7796,124.39,84.47,66,38,12.73,scattered clouds
34,Talnakh,RU,2021-11-01 04:39:17,69.4865,88.3972,-11.81,98,87,4.47,overcast clouds
35,Palmerston,AU,2021-11-01 04:39:18,-12.486,130.9833,94.98,54,20,10.36,few clouds
36,Panaba,MX,2021-11-01 04:39:18,21.2833,-88.2667,67.14,78,8,5.06,clear sky
37,Vila Franca Do Campo,PT,2021-11-01 04:39:19,37.7167,-25.4333,73.2,95,100,6.04,overcast clouds
38,Richards Bay,ZA,2021-11-01 04:39:19,-28.783,32.0377,68.74,77,37,8.86,scattered clouds
39,Palmer,US,2021-11-01 04:39:20,42.1584,-72.3287,55.0,72,20,1.01,few clouds
40,Puerto Ayora,EC,2021-11-01 04:39:20,-0.7393,-90.3518,68.67,93,34,6.42,scattered clouds
41,Hobart,AU,2021-11-01 04:36:40,-42.8794,147.3294,66.25,54,75,1.01,broken clouds
42,Cayenne,GF,2021-11-01 04:39:21,4.9333,-52.3333,82.09,83,75,3.0,broken clouds
43,Olinda,BR,2021-11-01 04:39:21,-8.0089,-34.8553,80.33,74,40,6.91,scattered clouds
44,Dikson,RU,2021-11-01 04:39:22,73.5069,80.5464,5.67,93,89,10.58,overcast clouds
45,Cabadiangan,PH,2021-11-01 04:39:22,9.7531,122.4739,87.31,63,64,13.53,broken clouds
46,Itaituba,BR,2021-11-01 04:39:23,-4.2761,-55.9836,74.16,95,74,2.48,broken clouds
47,Teixeira,BR,2021-11-01 04:39:23,-7.2228,-37.2542,67.59,82,24,7.25,few clouds
48,Tshikapa,CD,2021-11-01 04:39:24,-6.4167,20.8,69.85,97,100,1.43,moderate rain
49,Salas,ES,2021-11-01 04:39:24,43.4118,-6.2602,53.17,86,62,5.86,broken clouds
50,Cururupu,BR,2021-11-01 04:39:25,-1.8283,-44.8683,75.74,90,57,3.85,broken clouds
51,Saint-Pierre,RE,2021-11-01 04:39:25,-21.3393,55.4781,78.57,60,0,3.44,clear sky
52,Pisco,PE,2021-11-01 04:35:03,-13.7,-76.2167,60.03,88,0,2.3,clear sky
53,Mataura,NZ,2021-11-01 04:39:27,-46.1927,168.8643,53.47,78,99,8.52,overcast clouds
54,Goderich,CA,2021-11-01 04:39:27,43.7501,-81.7165,48.52,57,89,19.57,overcast clouds
55,Tilichiki,RU,2021-11-01 04:39:27,60.4667,166.1,-4.63,93,17,11.07,few clouds
56,Lebu,CL,2021-11-01 04:39:28,-37.6167,-73.65,50.34,93,80,6.51,broken clouds
57,Lubbock,US,2021-11-01 04:37:40,33.6001,-101.8338,53.38,65,75,5.99,broken clouds
58,Canico,PT,2021-11-01 04:39:29,32.6333,-16.85,72.68,85,20,1.14,few clouds
59,Meadow Lake,US,2021-11-01 04:39:30,34.8014,-106.5436,56.68,59,74,9.46,broken clouds
60,Terre Haute,US,2021-11-01 04:39:31,39.4667,-87.4139,45.97,78,1,1.01,clear sky
61,Provideniya,RU,2021-11-01 04:39:31,64.3833,-173.3,17.71,62,40,11.18,scattered clouds
62,Namatanai,PG,2021-11-01 04:39:32,-3.6667,152.4333,85.14,67,63,11.74,broken clouds
63,Velingrad,BG,2021-11-01 04:39:32,42.0272,23.9957,41.88,90,7,4.05,clear sky
64,Souillac,MU,2021-11-01 04:39:33,-20.5167,57.5167,79.36,78,40,6.91,scattered clouds
65,Quatre Cocos,MU,2021-11-01 04:36:39,-20.2078,57.7625,78.1,70,16,10.22,few clouds
66,Bemidji,US,2021-11-01 04:37:33,47.4736,-94.8803,35.06,78,90,11.5,overcast clouds
67,Otane,NZ,2021-11-01 04:39:34,-39.8833,176.6333,67.39,71,74,7.78,broken clouds
68,Katsuura,JP,2021-11-01 04:39:34,35.1333,140.3,68.14,74,98,7.74,overcast clouds
69,Bredasdorp,ZA,2021-11-01 04:39:35,-34.5322,20.0403,61.29,70,100,8.77,overcast clouds
70,Tangzhai,CN,2021-11-01 04:39:36,34.4328,116.5911,64.31,52,96,9.53,overcast clouds
71,Chingola,ZM,2021-11-01 04:39:36,-12.529,27.8838,70.41,65,68,5.84,broken clouds
72,Fallon,US,2021-11-01 04:39:37,39.4735,-118.7774,55.92,70,1,4.61,clear sky
73,Grindavik,IS,2021-11-01 04:37:29,63.8424,-22.4338,35.55,75,75,23.02,broken clouds
74,Carbonia,IT,2021-11-01 04:39:37,39.1672,8.5222,58.15,94,61,0.74,broken clouds
75,Biltine,TD,2021-11-01 04:36:38,14.5333,20.9167,81.46,22,41,15.84,scattered clouds
76,Husavik,IS,2021-11-01 04:39:38,66.0449,-17.3389,33.71,99,100,18.68,light rain
77,Mildura,AU,2021-11-01 04:39:39,-34.2,142.15,86.07,12,90,3.44,overcast clouds
78,Umba,RU,2021-11-01 04:39:39,66.6871,34.3429,34.45,97,100,13.35,light rain
79,Kommunar,RU,2021-11-01 04:39:40,59.6206,30.39,47.73,94,92,5.61,overcast clouds
80,Tateyama,JP,2021-11-01 04:39:40,34.9833,139.8667,71.15,74,95,7.85,overcast clouds
81,Hasaki,JP,2021-11-01 04:39:41,35.7333,140.8333,70.29,69,100,4.63,overcast clouds
82,Vardo,NO,2021-11-01 04:39:42,70.3705,31.1107,34.0,76,96,17.76,overcast clouds
83,Agirish,RU,2021-11-01 04:39:42,61.9247,63.0231,15.6,90,100,6.4,overcast clouds
84,Barrow,US,2021-11-01 04:39:42,71.2906,-156.7887,19.42,86,40,13.8,scattered clouds
85,Onega,RU,2021-11-01 04:39:43,63.9061,38.1404,40.14,96,100,8.37,light rain
86,Constitucion,CL,2021-11-01 04:39:43,-35.3333,-72.4167,49.23,91,61,5.21,broken clouds
87,Longyearbyen,SJ,2021-11-01 04:39:44,78.2186,15.6401,33.64,75,75,19.57,broken clouds
88,Rikitea,PF,2021-11-01 04:39:44,-23.1203,-134.9692,72.86,75,100,15.39,overcast clouds
89,Poum,NC,2021-11-01 04:39:45,-20.2333,164.0167,76.03,74,2,23.13,clear sky
90,Bambous Virieux,MU,2021-11-01 04:39:45,-20.3428,57.7575,79.21,78,40,6.91,scattered clouds
91,Broome,US,2021-11-01 04:39:46,42.2506,-75.833,52.9,79,75,1.01,broken clouds
92,Yulara,AU,2021-11-01 04:39:47,-25.2406,130.9889,87.64,30,15,6.91,few clouds
93,Sao Filipe,CV,2021-11-01 04:39:47,14.8961,-24.4956,79.65,75,100,8.37,overcast clouds
94,Kasongo-Lunda,CD,2021-11-01 04:39:47,-6.4667,16.8167,69.87,98,100,1.21,overcast clouds
95,Balsas,BR,2021-11-01 04:39:48,-7.5325,-46.0356,77.11,61,78,2.19,broken clouds
96,Hearst,CA,2021-11-01 04:39:49,49.6835,-83.6665,34.05,90,100,12.5,overcast clouds
97,Kristianstad,SE,2021-11-01 04:39:49,56.0313,14.1524,53.98,94,100,5.75,overcast clouds
98,Nikolskoye,RU,2021-11-01 04:39:50,59.7035,30.7861,48.09,94,94,5.57,overcast clouds
99,Lieksa,FI,2021-11-01 04:39:51,63.3167,30.0167,45.63,92,94,10.51,overcast clouds
100,Baiyin,CN,2021-11-01 04:39:10,36.5583,104.2081,41.88,63,99,5.68,overcast clouds
101,Saint-Philippe,RE,2021-11-01 04:39:52,-21.3585,55.7679,78.48,78,60,8.95,broken clouds
102,Iqaluit,CA,2021-11-01 04:39:52,63.7506,-68.5145,28.13,79,75,5.01,broken clouds
103,Huarmey,PE,2021-11-01 04:39:53,-10.0681,-78.1522,63.68,85,16,5.97,few clouds
104,Pevek,RU,2021-11-01 04:39:53,69.7008,170.3133,3.22,95,100,5.88,light snow
105,Gasa,PS,2021-11-01 04:39:54,31.5,34.4667,73.9,49,100,2.68,overcast clouds
106,Liverpool,GB,2021-11-01 04:39:54,53.4106,-2.9779,50.77,80,99,8.01,overcast clouds
107,Kavaratti,IN,2021-11-01 04:39:55,10.5669,72.642,82.09,78,92,8.16,overcast clouds
108,Petropavlovsk-Kamchatskiy,RU,2021-11-01 04:39:55,53.0452,158.6483,36.19,38,40,11.18,scattered clouds
109,Skjervoy,NO,2021-11-01 04:37:03,70.0311,20.9714,41.9,76,100,12.75,overcast clouds
110,Hilo,US,2021-11-01 04:39:52,19.7297,-155.09,76.73,83,90,3.44,overcast clouds
111,Airai,TL,2021-11-01 04:39:56,-8.9266,125.4092,77.34,47,78,2.55,broken clouds
112,Keti Bandar,PK,2021-11-01 04:39:57,24.1447,67.4497,84.02,50,1,12.41,clear sky
113,Qaqortoq,GL,2021-11-01 04:38:20,60.7167,-46.0333,25.3,62,29,7.16,scattered clouds
114,Port Augusta,AU,2021-11-01 04:39:58,-32.5,137.7667,82.54,16,95,5.75,overcast clouds
115,Staryy Nadym,RU,2021-11-01 04:39:58,65.6118,72.6842,4.69,91,81,3.22,broken clouds
116,Atasu,KZ,2021-11-01 04:39:59,48.6814,71.6433,41.49,73,100,17.85,overcast clouds
117,Meulaboh,ID,2021-11-01 04:39:59,4.1363,96.1285,84.7,67,99,5.12,overcast clouds
118,Vanavara,RU,2021-11-01 04:40:00,60.34,102.2797,28.42,93,100,5.55,light snow
119,Sorland,NO,2021-11-01 04:40:00,67.667,12.6934,46.47,79,47,15.23,scattered clouds
